,scenario,subscenario,gamma,samp1_6,samp2_6,samp3_6,samp4_6,samp5_6,samp6_6,samp7_6,samp8_6,samp9_6,samp10_6,samp11_6,samp12_6,samp13_6,samp14_6,samp15_6,samp16_6,samp17_6,samp18_6,samp19_6,samp20_6,samp21_6,samp22_6,samp23_6,samp24_6,samp25_6,samp1_5,samp2_5,samp3_5,samp4_5,samp5_5,samp6_5,samp7_5,samp8_5,samp9_5,samp10_5,samp11_5,samp12_5,samp13_5,samp14_5,samp15_5,samp16_5,samp17_5,samp18_5,samp19_5,samp20_5,samp21_5,samp22_5,samp23_5,samp24_5,samp25_5,samp1_4,samp2_4,samp3_4,samp4_4,samp5_4,samp6_4,samp7_4,samp8_4,samp9_4,samp10_4,samp11_4,samp12_4,samp13_4,samp14_4,samp15_4,samp16_4,samp17_4,samp18_4,samp19_4,samp20_4,samp21_4,samp22_4,samp23_4,samp24_4,samp25_4,samp1_3,samp2_3,samp3_3,samp4_3,samp5_3,samp6_3,samp7_3,samp8_3,samp9_3,samp10_3,samp11_3,samp12_3,samp13_3,samp14_3,samp15_3,samp16_3,samp17_3,samp18_3,samp19_3,samp20_3,samp21_3,samp22_3,samp23_3,samp24_3,samp25_3,samp1_2,samp2_2,samp3_2,samp4_2,samp5_2,samp6_2,samp7_2,samp8_2,samp9_2,samp10_2,samp11_2,samp12_2,samp13_2,samp14_2,samp15_2,samp16_2,samp17_2,samp18_2,samp19_2,samp20_2,samp21_2,samp22_2,samp23_2,samp24_2,samp25_2,samp1_1,samp2_1,samp3_1,samp4_1,samp5_1,samp6_1,samp7_1,samp8_1,samp9_1,samp10_1,samp11_1,samp12_1,samp13_1,samp14_1,samp15_1,samp16_1,samp17_1,samp18_1,samp19_1,samp20_1,samp21_1,samp22_1,samp23_1,samp24_1,samp25_1
1,NC1bis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,NC1bis,2,1.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,NC1bis,3,5.00E-05,0.012575,0.012125,0.014875,0.013275,0.014725,0.01185,0.011375,0.0139,0.01375,0.012325,0.01135,0.014225,0.012125,0.01365,0.014325,0.011925,0.010875,0.01235,0.0134,0.0158,0.015875,0.012875,0.01265,0.013,0.0119,0.0119,0.012625,0.011525,0.012425,0.01505,0.0113,0.011975,0.0143,0.0129,0.015025,0.012375,0.012175,0.013325,0.014025,0,0.0111,0.016175,0.01275,2.50E-05,0,0.01165,0.010775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,NC1bis,4,1.00E-04,0.03975,0.03505,0.0412,0.0393,0.046525,0.0376,0.037675,0.040375,0.03775,0.044125,0.04245,0.0375,0.0362,0.037325,0.025375,0.037325,0.04195,0.0369,0.02895,0.02795,0.035675,0.031025,0.0239,0.024925,0.0249,0.026625,0.02815,0.02435,0.026325,0.0285,0.026275,0.025625,0.0268,0.024275,0.028075,0.02415,0.028025,0.0271,0.027275,0.013825,0.02565,0.0267,0.023625,0.013175,0.013525,0.0244,0.0272,0.0128,0.0117,0.013225,0.014125,0.013275,0.01395,0.01255,0.011425,0.0119,0.0123,0.011575,0.013525,0.013025,0.0114,0.012325,0.014675,0.0117,0.0139,0.01275,0.014025,0.013275,0.012675,0,0.01135,0.01425,0.014075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,NC1bis,5,0.00025,0.11415,0.101475,0.097825,0.10285,0.085175,0.095675,0.094825,0.098975,0.088575,0.082875,0.100275,0.0998,0.08685,0.082325,0.08275,0.0895,0.0827,0.08665,0.085575,0.07765,0.088175,0.08615,0.08455,0.07615,0.077375,0.075025,0.07635,0.075325,0.0599,0.063925,0.071125,0.073675,0.05965,0.0619,0.061675,0.0746,0.0675,0.064225,0.06195,0.05265,0.063825,0.0634,0.061675,0.051975,0.053775,0.06525,0.0619,0.054875,0.0492,0.0495,0.05005,0.051875,0.04195,0.03565,0.038875,0.0517,0.043175,0.037825,0.0374,0.02625,0.04135,0.037825,0.0389,0.025,0.025325,0.040575,0.038275,0.025025,0.02415,0.0269,0.02625,0.0278,0.029275,0.02915,0.027975,0.024125,0.01355,0.015,0.01375,0,0.01345,0.01425,0.012525,0,0,0.0137,0.013975,0.01435,0,0,0.01275,0,0,0,0,0,0,0,0,0,0.0145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,NC1bis,6,5.00E-04,0.1805,0.1856,0.176225,0.170425,0.16675,0.180975,0.18915,0.173875,0.160425,0.17045,0.173525,0.177075,0.163775,0.162725,0.153325,0.1693,0.161575,0.162725,0.1536,0.147975,0.162975,0.15595,0.1558,0.1464,0.1559,0.146,0.14555,0.145775,0.128775,0.122175,0.1421,0.139,0.13035,0.1296,0.1208,0.13475,0.124825,0.135625,0.11405,0.103825,0.12775,0.11225,0.11855,0.107575,0.109425,0.117575,0.1182,0.1082,0.1065,0.098625,0.097325,0.09765,0.084675,0.08695,0.073525,0.0995,0.0811,0.083125,0.0774,0.063325,0.08705,0.085425,0.076625,0.064075,0.067925,0.0725,0.073475,0.0633,0.063975,0.050125,0.078475,0.066225,0.05975,0.05495,0.04415,0.0469,0.04225,0.03665,0.024925,0.013525,0.03945,0.0378,0.02675,0.01235,0.01185,0.023925,0.0266,0.0241,0.01415,0,0.023925,0.014225,0.012125,0,0,0.013025,0,0,0,0,0.026475,0.0122,0,0,0,0.014875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,NC1bis,7,0.00075,0.25405,0.2474,0.244875,0.236275,0.226525,0.24315,0.2433,0.241175,0.225,0.228925,0.2436,0.233575,0.226625,0.22195,0.213975,0.238575,0.2332,0.218675,0.2079,0.2168,0.234625,0.226125,0.222875,0.215725,0.20995,0.205875,0.20445,0.1986,0.1868,0.176175,0.19285,0.193825,0.186275,0.170525,0.170675,0.186775,0.170875,0.169475,0.161025,0.157625,0.176425,0.17825,0.163025,0.1598,0.1459,0.168175,0.166175,0.1592,0.16005,0.14925,0.148025,0.136,0.128175,0.11805,0.110675,0.134575,0.1278,0.1146,0.105175,0.096725,0.12615,0.117825,0.11725,0.097175,0.08455,0.113625,0.112025,0.09375,0.0866,0.074175,0.106675,0.0978,0.087975,0.0768,0.079625,0.06815,0.060575,0.0521,0.037075,0.02835,0.057575,0.0484,0.038775,0.0279,0.01325,0.04855,0.038025,0.038325,0.02635,0.01525,0.0367,0.024525,0.015925,0.012075,0,0.025825,0.012925,0,0,0,0.040075,0.029875,0.013425,0,0,0.012675,0.01275,0,0,0,0.012325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,NC1bis,8,0.001,0.318625,0.310025,0.296575,0.2873,0.287225,0.2934,0.292175,0.29605,0.276925,0.2703,0.2874,0.2913,0.270125,0.2722,0.27565,0.2869,0.286225,0.2749,0.263875,0.256925,0.27155,0.266925,0.27295,0.258975,0.26115,0.2593,0.261775,0.239575,0.229025,0.2217,0.2427,0.24085,0.226425,0.229925,0.203975,0.233025,0.2303,0.214525,0.209825,0.20535,0.22965,0.2133,0.210775,0.2038,0.19495,0.209,0.213475,0.210225,0.189,0.178675,0.18455,0.18595,0.1593,0.15555,0.142075,0.17445,0.16315,0.15555,0.1303,0.12815,0.16695,0.1542,0.1465,0.12395,0.11765,0.1491,0.13375,0.127,0.1168,0.10145,0.1269,0.128175,0.1148,0.108,0.105325,0.09565,0.082675,0.076,0.0539,0.0393,0.08525,0.07555,0.0644,0.036125,0.0268,0.07205,0.063725,0.0505,0.02565,0.0118,0.049825,0.038,0.025775,0.0121,0,0.022875,0.012325,0.01095,0,0,0.050275,0.023525,0.012875,0,0,0.028025,0.0117,0,0,0,0.012575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,NC1bis,9,0.0025,0.454525,0.446075,0.44725,0.44185,0.436325,0.453025,0.447425,0.44625,0.429475,0.4292,0.43635,0.44795,0.443125,0.42925,0.42515,0.443525,0.4354,0.4343,0.436725,0.431125,0.436275,0.433075,0.431325,0.418125,0.414,0.41315,0.426575,0.399625,0.387325,0.386925,0.41075,0.4073,0.394425,0.3885,0.384325,0.412575,0.398475,0.3823,0.38055,0.3692,0.393525,0.3868,0.370725,0.366275,0.354,0.386025,0.378525,0.36865,0.359475,0.346625,0.343825,0.3304,0.321625,0.30305,0.281375,0.328425,0.317575,0.30245,0.27905,0.262425,0.314575,0.29975,0.2878,0.277825,0.247625,0.288275,0.27905,0.266775,0.241875,0.224975,0.266375,0.262525,0.247575,0.24275,0.212475,0.2163,0.191775,0.1661,0.127375,0.095675,0.181925,0.165575,0.139575,0.10415,0.064975,0.15095,0.13545,0.116525,0.074625,0.0388,0.118225,0.0934,0.07085,0.039525,0,0.072075,0.048025,0.028025,0,0,0.115925,0.0733,0.050375,0,0,0.0714,0.040175,0.014325,0,0,0.036475,0.012125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,NC1bis,10,0.005,0.493925,0.490025,0.485625,0.493075,0.485425,0.485425,0.483175,0.4824,0.4807,0.4926,0.49935,0.482775,0.4963,0.485925,0.48275,0.486675,0.48695,0.488175,0.4813,0.4903,0.48565,0.490225,0.48385,0.47815,0.490375,0.477125,0.471825,0.47365,0.4855,0.466975,0.47735,0.471375,0.475325,0.476275,0.473325,0.4809,0.46465,0.46955,0.4605,0.44395,0.478525,0.474325,0.4642,0.464425,0.4509,0.467375,0.467725,0.45615,0.4516,0.446275,0.44185,0.43505,0.4381,0.431875,0.39595,0.42945,0.425875,0.424775,0.4043,0.388625,0.4272,0.425925,0.409825,0.394725,0.374225,0.41455,0.39995,0.395775,0.374625,0.358625,0.40065,0.389225,0.377475,0.356825,0.3308,0.339025,0.314625,0.2867,0.225125,0.177075,0.30355,0.267975,0.2395,0.181725,0.12605,0.27025,0.246825,0.201425,0.14475,0.07075,0.20925,0.179725,0.14525,0.07405,0,0.145975,0.107725,0.0642,0,0,0.208875,0.143225,0.09385,0,0,0.134125,0.086375,0.026025,0,0,0.082475,0.0266,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
