,scenario,subscenario,gamma,samp1_6,samp2_6,samp3_6,samp4_6,samp5_6,samp6_6,samp7_6,samp8_6,samp9_6,samp10_6,samp11_6,samp12_6,samp13_6,samp14_6,samp15_6,samp16_6,samp17_6,samp18_6,samp19_6,samp20_6,samp21_6,samp22_6,samp23_6,samp24_6,samp25_6,samp1_5,samp2_5,samp3_5,samp4_5,samp5_5,samp6_5,samp7_5,samp8_5,samp9_5,samp10_5,samp11_5,samp12_5,samp13_5,samp14_5,samp15_5,samp16_5,samp17_5,samp18_5,samp19_5,samp20_5,samp21_5,samp22_5,samp23_5,samp24_5,samp25_5,samp1_4,samp2_4,samp3_4,samp4_4,samp5_4,samp6_4,samp7_4,samp8_4,samp9_4,samp10_4,samp11_4,samp12_4,samp13_4,samp14_4,samp15_4,samp16_4,samp17_4,samp18_4,samp19_4,samp20_4,samp21_4,samp22_4,samp23_4,samp24_4,samp25_4,samp1_3,samp2_3,samp3_3,samp4_3,samp5_3,samp6_3,samp7_3,samp8_3,samp9_3,samp10_3,samp11_3,samp12_3,samp13_3,samp14_3,samp15_3,samp16_3,samp17_3,samp18_3,samp19_3,samp20_3,samp21_3,samp22_3,samp23_3,samp24_3,samp25_3,samp1_2,samp2_2,samp3_2,samp4_2,samp5_2,samp6_2,samp7_2,samp8_2,samp9_2,samp10_2,samp11_2,samp12_2,samp13_2,samp14_2,samp15_2,samp16_2,samp17_2,samp18_2,samp19_2,samp20_2,samp21_2,samp22_2,samp23_2,samp24_2,samp25_2,samp1_1,samp2_1,samp3_1,samp4_1,samp5_1,samp6_1,samp7_1,samp8_1,samp9_1,samp10_1,samp11_1,samp12_1,samp13_1,samp14_1,samp15_1,samp16_1,samp17_1,samp18_1,samp19_1,samp20_1,samp21_1,samp22_1,samp23_1,samp24_1,samp25_1
1,NC1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NC1,2,1.00E-05,0.996575,0.99695,0.996525,0.999875,0.999975,0.9961,0.996,0.9978,1,1,0.997775,0.998125,0.99875,1,1,0.999975,1,1,1,1,1,1,1,1,1,0.9971,0.99705,0.997825,0.999925,1,0.996725,0.9976,0.99835,1,1,0.9982,0.998275,0.999025,1,1,1,1,1,1,1,1,1,1,1,1,0.9987,0.9988,0.999175,1,1,0.9986,0.9986,0.99925,1,1,0.99915,0.9989,0.99945,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NC1,3,5.00E-05,0.975175,0.976475,0.9824,0.998425,1,0.978125,0.977925,0.988425,0.999775,1,0.988675,0.988625,0.993925,0.999925,1,0.999775,0.9999,0.999775,1,1,0.999975,1,1,1,1,0.981875,0.982875,0.98775,0.998925,0.999975,0.98525,0.985225,0.989775,0.9999,1,0.99055,0.990275,0.9947,1,1,0.999925,0.9999,1,1,1,1,1,1,1,1,0.9877,0.990425,0.992825,0.99995,1,0.98975,0.990075,0.993625,0.99995,1,0.994225,0.993475,0.995875,1,1,1,1,1,1,1,1,1,1,1,1,0.9942,0.996225,0.996075,1,1,0.99555,0.996425,0.997625,1,1,0.99625,0.9977,0.9981,1,1,1,1,1,1,1,1,1,1,1,NA,0.997675,0.998325,1,1,NA,0.998475,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NC1,4,1.00E-04,0.9548,0.953,0.968675,0.996875,0.999725,0.954925,0.956425,0.978025,0.9996,1,0.97555,0.9771,0.98765,0.99975,1,0.999375,0.999475,0.9998,1,1,1,1,1,1,1,0.96545,0.966075,0.97435,0.998675,1,0.968125,0.967375,0.9817,0.9999,1,0.980425,0.98155,0.989,0.999875,1,0.9999,0.99975,0.999975,1,1,1,1,1,1,1,0.97785,0.9779,0.98525,0.99985,1,0.9773,0.98045,0.9882,1,1,0.98735,0.986875,0.99235,1,1,1,1,1,1,1,1,1,1,1,1,0.989325,0.991,0.9929,1,1,0.990125,0.992125,0.994325,1,1,0.993625,0.994275,0.995625,1,1,1,1,1,1,1,1,1,1,1,NA,0.99545,0.99735,0.998725,1,NA,0.997475,0.99905,1,NA,NA,0.9991,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998725,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NC1,5,0.00025,0.8898,0.8961,0.921825,0.991025,0.9998,0.894225,0.898025,0.947025,0.999025,1,0.946325,0.945,0.972975,0.999575,1,0.9987,0.998825,0.999325,1,1,1,1,1,1,1,0.916625,0.919325,0.940275,0.9962,0.999875,0.92275,0.923025,0.9559,0.999775,1,0.9535,0.9553,0.9748,0.9997,1,0.999475,0.999675,0.9998,1,1,1,1,1,1,1,0.9445,0.947525,0.958375,0.999625,1,0.94675,0.94915,0.967575,1,1,0.96575,0.96585,0.977575,1,1,0.999975,1,0.999975,1,1,1,1,1,1,1,0.972425,0.975,0.981625,1,1,0.9769,0.97985,0.984425,1,1,0.984025,0.98615,0.98785,1,1,1,1,1,1,1,1,1,1,1,NA,0.9879,0.990725,0.9944,1,NA,0.992375,0.994525,0.997225,NA,NA,0.99495,0.997025,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99635,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NC1,6,5.00E-04,0.8091,0.808375,0.856075,0.9827,0.999375,0.816175,0.8157,0.905125,0.998,1,0.902325,0.9038,0.9497,0.999125,1,0.997775,0.997625,0.999375,0.999975,1,0.99995,1,1,1,1,0.8491,0.85355,0.88695,0.99245,0.999825,0.851775,0.8554,0.915275,0.9994,1,0.916975,0.9188,0.94965,0.999875,1,0.99905,0.999225,0.999525,1,1,1,1,1,1,1,0.895725,0.895525,0.92165,0.999,1,0.89885,0.904325,0.935125,0.99995,1,0.9341,0.9378,0.957025,1,1,0.9999,0.99995,1,1,1,1,1,1,1,1,0.944725,0.95295,0.964675,1,1,0.952225,0.959925,0.972375,1,1,0.96655,0.969475,0.9781,1,1,1,1,1,1,1,1,1,1,1,NA,0.97315,0.982475,0.987725,1,NA,0.98195,0.988525,0.9949,NA,NA,0.9909,0.994175,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.991925,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NC1,7,0.00075,0.73565,0.7432,0.8023,0.974675,0.999325,0.7423,0.7539,0.865275,0.997775,1,0.860775,0.86405,0.927525,0.99855,1,0.996725,0.997125,0.99875,0.99995,1,0.999875,1,1,0.999975,1,0.790425,0.792425,0.840175,0.9893,0.999925,0.799825,0.80135,0.882025,0.999,1,0.88035,0.878825,0.929075,0.999475,1,0.998875,0.998975,0.999475,1,1,1,1,1,1,1,0.846275,0.8561,0.887625,0.99875,1,0.8606,0.86445,0.9114,0.999975,1,0.90725,0.907875,0.940375,0.99995,1,1,0.99995,0.99995,1,1,1,0.999975,1,1,1,0.918,0.92915,0.945125,1,1,0.92945,0.940925,0.954575,1,1,0.948825,0.9541,0.966325,1,1,1,0.999925,1,1,1,1,1,0.999975,1,NA,0.96035,0.973325,0.982475,1,NA,0.9748,0.983675,0.9917,NA,NA,0.98465,0.99205,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.987975,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NC1,8,0.001,0.69195,0.692625,0.7617,0.970175,0.99895,0.694525,0.703275,0.83585,0.996225,0.999875,0.83155,0.83645,0.91085,0.998075,0.99985,0.9955,0.996225,0.998325,0.999775,0.999775,1,1,1,1,0.99995,0.738025,0.74395,0.802775,0.9858,0.9998,0.75405,0.755525,0.853675,0.99865,0.99975,0.852375,0.85455,0.910625,0.9993,0.99995,0.99775,0.99885,0.999375,0.99985,0.99975,1,1,1,1,0.9998,0.80885,0.818125,0.854675,0.9979,1,0.821925,0.82655,0.884875,0.999875,0.9999,0.87615,0.884375,0.9218,0.999775,0.999975,0.999975,0.999975,0.9999,0.99985,0.99965,1,1,1,1,1,0.896025,0.906525,0.926225,0.99995,1,0.911275,0.917225,0.93835,1,0.999725,0.933525,0.941075,0.953675,0.999575,1,1,1,1,0.999925,0.999325,1,1,1,1,NA,0.948175,0.96375,0.97695,1,NA,0.963375,0.9774,0.98935,NA,NA,0.97945,0.98885,0.999975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98425,0.999975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NC1,9,0.0025,0.547,0.543175,0.63065,0.93605,0.992175,0.548525,0.552175,0.7356,0.98435,0.994675,0.731275,0.737325,0.848275,0.98925,0.992925,0.984675,0.985575,0.989925,0.992475,0.993175,0.994225,0.9941,0.9934,0.992475,0.99235,0.57535,0.585725,0.667575,0.96505,0.996375,0.594325,0.591875,0.737975,0.9908,0.9949,0.7362,0.738675,0.835125,0.991325,0.9933,0.989575,0.990125,0.99045,0.992075,0.9933,0.995175,0.99425,0.99385,0.992425,0.991675,0.65115,0.659575,0.720275,0.99035,0.99875,0.66175,0.6724,0.769425,0.99325,0.994475,0.764925,0.770075,0.835225,0.992475,0.9927,0.994525,0.9936,0.99335,0.991575,0.993525,0.995125,0.99395,0.993975,0.991825,0.992625,0.776475,0.795325,0.835575,0.9956,0.9998,0.80205,0.81745,0.862075,0.993225,0.9948,0.845125,0.861525,0.889725,0.992925,0.99185,0.994875,0.993575,0.992925,0.99215,0.9941,0.9961,0.99445,0.99385,0.9917,NA,0.876375,0.90835,0.932225,0.9995,NA,0.9119,0.937,0.963675,NA,NA,0.93925,0.964125,0.98985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,NC1,10,0.005,0.49075,0.4924,0.578275,0.883325,0.959175,0.48835,0.49605,0.66905,0.95005,0.9613,0.66585,0.6653,0.778025,0.953425,0.96185,0.952225,0.9505,0.947,0.95405,0.95735,0.967025,0.96055,0.955475,0.9513,0.953225,0.5003,0.499,0.57575,0.918825,0.966325,0.49735,0.498125,0.657,0.95585,0.961775,0.65665,0.656275,0.756025,0.955525,0.9561,0.958425,0.955175,0.9512,0.953375,0.95675,0.972075,0.9616,0.9551,0.952975,0.95815,0.5296,0.5371,0.60595,0.95685,0.97115,0.531875,0.536675,0.663825,0.9599,0.961625,0.663725,0.654625,0.7361,0.9598,0.958425,0.9714,0.96055,0.9528,0.95325,0.959575,0.9748,0.9655,0.956475,0.952675,0.954775,0.64435,0.6569,0.71345,0.9673,0.982425,0.6618,0.6824,0.7371,0.96215,0.967975,0.72645,0.735175,0.7718,0.95775,0.959725,0.973375,0.958125,0.951275,0.95335,0.9606,0.9825,0.96445,0.957925,0.952725,NA,0.774,0.816775,0.851825,0.972175,NA,0.81605,0.85775,0.901525,NA,NA,0.858875,0.8965,0.942425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.902925,0.980725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
